dunsNum,name,website,address,team,certifications,status,lastUpdated
147215909,"Vista Industrial Packaging, LLC",,4700 Fisher RD,"['1. Martha Cahall, CEO\n2. Todd Hampton, Vice President\n3. Kyle Cahall, Vice President\n4. James M Cahall, Vice President\n5. Jennifer Cahall Smith, Member']","['Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Expired,11/24/2013
147470707,"BEMA ELECTRONIC MANUFACTURING, INC.",https//bemaelectronics.com/,4545 CUSHING PKWY,"['1. Helen Kwong, President\n2. SuJu Kwong, Vice President']","['Asian Pacific American', 'Other Minority Owned', 'Women-Owned Small Business', 'Woman Owned']",Active,09/28/2019
7150212,S&S QUALITY MEATS LLC,,1542 S HWY 99,['(none given)'],['Woman Owned'],Expired,03/03/2006
183113885,"Gordon Document Products, Inc.",,1300 Parkwood Cir Ste 150,"['1. Helen Gordon, CFO\n2. John Gordon, President']","['Self-Certified Small Disadvantaged Business', 'Women-Owned Small Business', 'Woman Owned']",Active,07/12/2019
30986194,"Cross Link, Inc.",http//www.westarmarineservicesgov.com,Pier 50 Bldg C,"['1. MARY MCMILLAN, PRESIDENT\n2. WENDY MORROW, VICE PRESIDENT']","['Women-Owned Small Business', 'Woman Owned']",Active,03/20/2019
121370720,"ALUMAWALL, INC.",,1701 S 7TH ST STE 9,['(none given)'],"['Self-Certified Small Disadvantaged Business', 'Woman Owned']",Expired,12/19/2017
7147536,"Magnolia River Services, Inc.",http//www.magnolia-river.com,408 BANK ST NE,"['1. Kimberly T. Hoff, President & CEO\n2. Ronald S. Hoff, Vice President']",[''],Active,07/12/2019
963396366,"Cognitive Medical Systems, Inc.",,9444 WAPLES ST STE 200,"['1. Mary Lacroix, Board of Directors\n2. Emory Fry, CEO\n3. Doug Burke, President\n4. Rick Pope, COO']","['Service-Disabled Veteran', 'Veteran']",Active,12/12/2019
17028713,"LOUIS T. OLLESHEIMER & SON, INC.",,605 E 12 MILE RD,['(none given)'],"['Self-Certified Small Disadvantaged Business', 'Woman Owned']",Expired,12/27/2017
44517980,"King Business Interiors, Inc.",,1400 GOODALE BLVD STE 102,"['1. Darla J. King, President\n2. Dave King, CFO']","['Women-Owned Small Business', 'Woman Owned']",Active,03/08/2019
806488201,Banks Finley White & Co,,617 37th St S,['(none given)'],"['Black American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business']",Active,07/28/2019
152161337,HAMILTON-THORNE,,100 CUMMINGS CTR STE 465E,['(none given)'],['Woman Owned'],Expired,04/09/2019
171900017,"Inclin, Inc",http//www.inclin.com,"2000 Alameda de Las Pulgas, Ste 242","['1. Arnold Wong, CEO\n2. Taylor Kilfoil, CIO']",['Self-Certified Small Disadvantaged Business'],Active,08/06/2019
9976288,Msol Inc.,http//www.macrosolutions.com,800 Maryland Ave NE,"['1. Amy Wright, President\n2. Todd Barnes, Vice President']","['Women-Owned Small Business', 'Woman Owned']",Active,07/11/2019
790868678,MICRO-DATA SYSTEMS,,71 MAIN ST,['(none given)'],['Woman Owned'],Expired,10/04/2010
80243260,"Frontida Biopharm, Inc.",,1100 Orthodox St,['(none given)'],"['Asian Pacific American', 'Other Minority Owned']",Expired,02/14/2017
827455747,Base One Technologies Inc.,http//www.base-one.com,30 CHURCH ST STE 2B,"['1. Liza R Zaneri, President/CEO']","['Self-Certified Small Disadvantaged Business', 'Economically Disadvantaged Women-Owned Small Business', 'Women-Owned Small Business', 'Woman Owned']",Active,07/27/2019
74645821,"CAL COAST CREDIT SERVICE, INC.",,2906 MCBRIDE LANE,['(none given)'],[''],Expired,07/21/2011
88819789,CONQWEST INC,,84 OCTOBER HILL RD BLDG 7,['(none given)'],['Woman Owned'],Expired,04/15/2005
78805217,"SaviLinx, LLC",https//www.savilinx.com,74 Orion St,"['1. Heather D. Blease, President and CEO']","['Self-Certified Small Disadvantaged Business', 'Economically Disadvantaged Women-Owned Small Business', 'Women-Owned Small Business', 'Woman Owned']",Active,07/26/2019
79112366,Pmc Smart Solutions LLC,,9825 KENWOOD RD STE 300,['(none given)'],"['Women-Owned Small Business', 'Woman Owned']",Active,02/26/2019
121293039,Stand Energy Corporation,,1077 Celestial St Ste 110,"['1. Judith A. Phillips, President and CEO']",['Woman Owned'],Active,02/28/2019
139102961,Blue Air Commercial Refrigeration Inc.,http//www.blueairinc.com,223 W Rosecrans Ave,"['1. William So, CEO\n2. James B. Pak, Vice-President']","['Asian Pacific American', 'Other Minority Owned', 'Self-Certified Small Disadvantaged Business']",Active,02/25/2019
130417574,Elahi Enterprises Inc.,http//www.akorbi.com,6504 International Pkwy Ste 1500,"['1. Claudia Mirza, President']","['Hispanic American', 'Woman Owned']",Active,02/21/2019
46936621,"W. M. AUTOMOTIVE WAREHOUSE, INC.",,208 PENLAND ST,['(none given)'],[''],Expired,11/17/2009
77251890,"C. Martin Company, Inc.",http//www.cmartin.com/,3395 W CHEYENNE AVE STE 102,"['1. Laura Craig, President\n2. John Martin, Vice President']","['Service-Disabled Veteran', 'Veteran', 'Women-Owned Small Business', 'Woman Owned']",Active,07/19/2019
95758405,NPC Global Corporation,,100 Middlesex Ave Ste 2,['(none given)'],[''],Active,02/26/2019
63156657,RALPH CLAYTON & SONS,,1355 CAMPUS PARKWAY,"['1. William Clayton, Member']",[''],Active,02/23/2019
68328194,"BFW, INC.",http//bfwinc.com,2307 RIVER RD STE 103,"['1. LYNN COOPER, PRESIDENT']","['Women-Owned Small Business', 'Woman Owned']",Active,02/26/2019
136348054,"FIRE SAFETY SOLUTIONS, INC.",,3320 TOWERWOOD DR,"['1. Cheryl Brewster, Owner']",['Woman Owned'],Active,07/17/2019
80051575,Good Methods Global Inc.,http//www.goodmethodsglobal.com/,3943 W Auden Cir,"['1. Kevin Cook, Managing Partner']",[''],Expired,11/19/2015
611454539,"PYRAMID INTERIORS DISTRIBUTORS, INC.",,4784 GETWELL RD,['(none given)'],['Veteran'],Expired,02/16/2018
54344978,DEE RIVER RANCH INCORPORATED,,2110 CR 1,['(none given)'],['Woman Owned'],Expired,04/11/2017
806224205,"NMF, INC.",,1421 N FALLS BLVD,"['1. Neil Munro, Stockholder\n2. Martha Jane Murray, Stockholder\n3. Don Munro, Stockholder\n4. Rosalind Munro, Stockholder']",[''],Expired,03/03/2016
786435636,"STEVEN ENTERPRISES, INC.",,17952 SKY PK CIR STE E,['(none given)'],"['Women-Owned Small Business', 'Woman Owned']",Active,07/12/2019
783696875,"Rebas, Inc.",,12907 Imperial Hwy,['(none given)'],"['Other Minority Owned', 'Subcontinent Asian American']",Expired,11/29/2017
